"","Provider.Number","Hospital.Name","Address.1","Address.2","Address.3","City","State","ZIP.Code","County.Name","Phone.Number","Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack","Comparison.to.U.S..Rate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack","Lower.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack","Upper.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack","Number.of.Patients...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack","Footnote...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack","Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure","Comparison.to.U.S..Rate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure","Lower.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure","Upper.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure","Number.of.Patients...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure","Footnote...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure","Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia","Comparison.to.U.S..Rate...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia","Lower.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia","Upper.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia","Number.of.Patients...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia","Footnote...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia","Hospital.30.Day.Readmission.Rates.from.Heart.Attack","Comparison.to.U.S..Rate...Hospital.30.Day.Readmission.Rates.from.Heart.Attack","Lower.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Attack","Upper.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Attack","Number.of.Patients...Hospital.30.Day.Readmission.Rates.from.Heart.Attack","Footnote...Hospital.30.Day.Readmission.Rates.from.Heart.Attack","Hospital.30.Day.Readmission.Rates.from.Heart.Failure","Comparison.to.U.S..Rate...Hospital.30.Day.Readmission.Rates.from.Heart.Failure","Lower.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Failure","Upper.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Failure","Number.of.Patients...Hospital.30.Day.Readmission.Rates.from.Heart.Failure","Footnote...Hospital.30.Day.Readmission.Rates.from.Heart.Failure","Hospital.30.Day.Readmission.Rates.from.Pneumonia","Comparison.to.U.S..Rate...Hospital.30.Day.Readmission.Rates.from.Pneumonia","Lower.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Pneumonia","Upper.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Pneumonia","Number.of.Patients...Hospital.30.Day.Readmission.Rates.from.Pneumonia","Footnote...Hospital.30.Day.Readmission.Rates.from.Pneumonia"
"1867","210001","MERITUS MEDICAL CENTER","11116 MEDICAL CAMPUS ROAD","","","HAGERSTOWN","MD","21742","WASHINGTON","2403139500",12.5,"No Different than U.S. National Rate","14.4","20.4","262","","11.3","No Different than U.S. National Rate","9.4","13.7","603","","12.5","No Different than U.S. National Rate","10.6","14.5","885","","18.8","No Different than U.S. National Rate","15.8","22.4","212","","24.0","No Different than U.S. National Rate","21.4","26.9","706","","18.9","No Different than U.S. National Rate","16.8","21.2","906",""
"1868","210002","UNIVERSITY OF MARYLAND MEDICAL CENTER","22 S GREENE ST","","","BALTIMORE","MD","21201","BALTIMORE CITY","4103280313",12.7,"No Different than U.S. National Rate","14.4","22.3","186","","9.6","No Different than U.S. National Rate","7.1","12.9","183","","12.7","No Different than U.S. National Rate","9.7","16.2","168","","23.2","Worse than U.S. National Rate","20.3","26.4","467","","26.1","No Different than U.S. National Rate","22.6","29.7","300","","21.9","No Different than U.S. National Rate","18.5","25.5","196",""
"1869","210003","PRINCE GEORGES HOSPITAL CENTER","3001 HOSPITAL DRIVE","","","CHEVERLY","MD","20785","PRINCE GEORGES","3016182000",13,"No Different than U.S. National Rate","11.8","19.1","127","","11.6","No Different than U.S. National Rate","8.8","15.3","251","","13.0","No Different than U.S. National Rate","9.4","18.0","100","","21.7","No Different than U.S. National Rate","17.9","26.0","132","","29.5","Worse than U.S. National Rate","25.8","33.4","325","","23.3","No Different than U.S. National Rate","18.4","27.9","112",""
"1870","210004","HOLY CROSS HOSPITAL","1500 FOREST GLEN ROAD","","","SILVER SPRING","MD","20910","MONTGOMERY","3017547000",9.6,"No Different than U.S. National Rate","11.3","16.4","206","","11.5","No Different than U.S. National Rate","9.4","13.9","466","","9.6","Better than U.S. National Rate","7.8","11.9","391","","18.2","No Different than U.S. National Rate","14.9","22.1","145","","26.8","No Different than U.S. National Rate","23.8","30.0","553","","20.2","No Different than U.S. National Rate","17.1","23.4","414",""
"1871","210005","FREDERICK MEMORIAL HOSPITAL","400 WEST SEVENTH ST","","","FREDERICK","MD","21701","FREDERICK","2405663300",9.8,"No Different than U.S. National Rate","12.7","17.9","300","","9.6","Better than U.S. National Rate","8.0","11.3","819","","9.8","Better than U.S. National Rate","8.2","11.6","838","","19.2","No Different than U.S. National Rate","16.1","22.8","225","","22.8","No Different than U.S. National Rate","20.6","25.2","946","","18.3","No Different than U.S. National Rate","16.2","20.5","850",""
"1872","210006","HARFORD MEMORIAL HOSPITAL","501 S UNION AVE","","","HAVRE DE GRACE","MD","21078","HARFORD","4436433303",11.5,"No Different than U.S. National Rate","14.3","22.7","98","","11.3","No Different than U.S. National Rate","8.7","14.5","244","","11.5","No Different than U.S. National Rate","8.8","14.9","179","","20.6","No Different than U.S. National Rate","16.4","25.1","43","","28.2","Worse than U.S. National Rate","24.8","32.1","298","","17.9","No Different than U.S. National Rate","14.8","21.3","196",""
"1873","210007","SAINT JOSEPH MEDICAL CENTER","7601 OSLER DRIVE","","","TOWSON","MD","21204","BALTIMORE","4103371200",9.5,"No Different than U.S. National Rate","12.7","17.5","636","","11.3","No Different than U.S. National Rate","9.7","13.2","846","","9.5","Better than U.S. National Rate","7.5","11.8","410","","20.7","No Different than U.S. National Rate","18.4","22.9","939","","24.6","No Different than U.S. National Rate","22.4","27.1","1053","","20.4","No Different than U.S. National Rate","17.4","23.7","426",""
"1874","210008","MERCY MEDICAL CENTER INC","301 ST PAUL PLACE","","","BALTIMORE","MD","21202","BALTIMORE CITY","4103329237",11.2,"No Different than U.S. National Rate","11.3","19.0","28","","9.1","No Different than U.S. National Rate","6.8","12.2","221","","11.2","No Different than U.S. National Rate","8.4","14.6","170","","Not Available","Number of Cases Too Small","Not Available","Not Available","14","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","25.0","No Different than U.S. National Rate","21.5","28.7","318","","20.9","No Different than U.S. National Rate","17.3","24.8","194",""
"1875","210009","JOHNS HOPKINS HOSPITAL, THE","600 NORTH  WOLFE STREET","","","BALTIMORE","MD","21287","BALTIMORE CITY","4109559540",10.2,"No Different than U.S. National Rate","9.6","15.8","205","","9.6","No Different than U.S. National Rate","7.5","12.3","442","","10.2","No Different than U.S. National Rate","7.8","13.2","231","","20.6","No Different than U.S. National Rate","17.8","23.9","415","","25.6","No Different than U.S. National Rate","23.0","28.5","673","","21.5","No Different than U.S. National Rate","18.0","24.8","255",""
"1876","210011","SAINT AGNES HOSPITAL","WILKENS & CATON AVENUES","","","BALTIMORE","MD","21229","BALTIMORE CITY","4103682101",11.1,"No Different than U.S. National Rate","13.6","20.1","215","","9.3","Better than U.S. National Rate","7.6","11.3","702","","11.1","No Different than U.S. National Rate","9.5","13.2","783","","19.6","No Different than U.S. National Rate","16.1","23.6","152","","25.7","No Different than U.S. National Rate","23.1","28.4","828","","20.7","No Different than U.S. National Rate","18.2","23.2","807",""
